timestamp,filename,file_path,audio_length_seconds,transcript
2025-08-22T13:59:59.255442,asr_base_66ba881e-8c4b-46d1-83a1-1021f5157d9d_8d3fbb4b-770e-4afd-87b5-0ad5401f69a5.wav,./audio_files\asr_base_66ba881e-8c4b-46d1-83a1-1021f5157d9d_8d3fbb4b-770e-4afd-87b5-0ad5401f69a5.wav,2.4,Am I audible now?
2025-08-22T14:00:18.515311,asr_base_66ba881e-8c4b-46d1-83a1-1021f5157d9d_abff2390-edfc-4216-9ff6-d91be0f28d5a.wav,./audio_files\asr_base_66ba881e-8c4b-46d1-83a1-1021f5157d9d_abff2390-edfc-4216-9ff6-d91be0f28d5a.wav,2.36,Play music.
2025-08-22T14:03:14.046318,asr_base_31c024c3-c75f-4cab-ac5b-a89b3f6089e4_80ab5c29-0130-4271-93e4-7b1d137ac542.wav,./audio_files\asr_base_31c024c3-c75f-4cab-ac5b-a89b3f6089e4_80ab5c29-0130-4271-93e4-7b1d137ac542.wav,2.22,Okay. I'm good.
2025-08-22T14:03:45.446087,asr_base_31c024c3-c75f-4cab-ac5b-a89b3f6089e4_e6f9ba78-6d66-43ef-ac4f-0b77a5b88303.wav,./audio_files\asr_base_31c024c3-c75f-4cab-ac5b-a89b3f6089e4_e6f9ba78-6d66-43ef-ac4f-0b77a5b88303.wav,1.8,Okay. Bye.
2025-08-22T15:07:03.535579,asr_base_b548c59e-8de9-4528-adc2-0f577a6fe0cb_02589282-b00c-4830-b494-d54f3b362772.wav,./audio_files\asr_base_b548c59e-8de9-4528-adc2-0f577a6fe0cb_02589282-b00c-4830-b494-d54f3b362772.wav,1.86,Play story.
2025-08-22T15:15:36.173950,asr_base_fc0377b2-b150-4c8f-984d-fc8ac39eb3cb_da9540da-b904-4bc6-b61c-37a6c7783240.wav,./audio_files\asr_base_fc0377b2-b150-4c8f-984d-fc8ac39eb3cb_da9540da-b904-4bc6-b61c-37a6c7783240.wav,2.0,Play music.
2025-08-22T15:16:22.252916,asr_base_8b27400e-150a-410c-8837-6cf8467c2ffb_e14653f2-9fd8-4c83-9e8d-86be7bc7e911.wav,./audio_files\asr_base_8b27400e-150a-410c-8837-6cf8467c2ffb_e14653f2-9fd8-4c83-9e8d-86be7bc7e911.wav,1.94,Play story.
2025-08-22T15:26:14.430905,asr_base_bbef8431-2bd0-4136-b8db-1c07c0d6109d_5f95e549-9779-43f5-a742-271ac1f6bd03.wav,./audio_files\asr_base_bbef8431-2bd0-4136-b8db-1c07c0d6109d_5f95e549-9779-43f5-a742-271ac1f6bd03.wav,1.84,Play story.
2025-08-22T15:27:08.129853,asr_base_c66efb72-648c-481b-8a38-f97c14ed4188_9f936aba-8335-4c22-af7c-73214aa70515.wav,./audio_files\asr_base_c66efb72-648c-481b-8a38-f97c14ed4188_9f936aba-8335-4c22-af7c-73214aa70515.wav,3.04,Lay the wind and the sun.
2025-08-22T15:27:36.703629,asr_base_c66efb72-648c-481b-8a38-f97c14ed4188_ab0cb844-c53d-479e-ac3c-498cad76f69a.wav,./audio_files\asr_base_c66efb72-648c-481b-8a38-f97c14ed4188_ab0cb844-c53d-479e-ac3c-498cad76f69a.wav,2.44,Play adventure story.
2025-08-22T15:28:14.754043,asr_base_c66efb72-648c-481b-8a38-f97c14ed4188_d9af2b1a-d253-4c15-8dc6-9181e2bcf6c3.wav,./audio_files\asr_base_c66efb72-648c-481b-8a38-f97c14ed4188_d9af2b1a-d253-4c15-8dc6-9181e2bcf6c3.wav,2.46,Play bedtime story.
